signedChangeRate,changeRate,candleDateTimeKst,candleDateTime,openingPrice,prevClosingPrice,candleAccTradeVolume,tradePrice,lowPrice,timestamp,highPrice,change,changePrice,candleAccTradePrice,signedChangePrice,code
0.02953151,0.02953151,2020-11-12T09:00:00+09:00,2020-11-12T00:00:00+00:00,17439000,17439000,5384.627474,17954000,17200000,1.61E+12,17979000,RISE,515000,94788178121,515000,CRIX.UPBIT.KRW-BTC
0.023715879,0.023715879,2020-11-11T09:00:00+09:00,2020-11-11T00:00:00+00:00,17035000,17035000,3969.121072,17439000,17009000,1.61E+12,17600000,RISE,404000,68527517495,404000,CRIX.UPBIT.KRW-BTC
-0.00415059,0.00415059,2020-11-10T09:00:00+09:00,2020-11-10T00:00:00+00:00,17106000,17106000,2656.019968,17035000,16872000,1.61E+12,17190000,FALL,71000,45280472574,-71000,CRIX.UPBIT.KRW-BTC
-0.011042377,0.011042377,2020-11-09T09:00:00+09:00,2020-11-09T00:00:00+00:00,17276000,17297000,5112.232518,17106000,16695000,1.60E+12,17550000,FALL,191000,87553016404,-191000,CRIX.UPBIT.KRW-BTC
0.039046074,0.039046074,2020-11-08T09:00:00+09:00,2020-11-08T00:00:00+00:00,16650000,16647000,3402.968942,17297000,16520000,1.60E+12,17388000,RISE,650000,57830395158,650000,CRIX.UPBIT.KRW-BTC
-0.043110881,0.043110881,2020-11-07T09:00:00+09:00,2020-11-07T00:00:00+00:00,17397000,17397000,5131.604249,16647000,16252000,1.60E+12,17613000,FALL,750000,87428894446,-750000,CRIX.UPBIT.KRW-BTC
0.002593361,0.002593361,2020-11-06T09:00:00+09:00,2020-11-06T00:00:00+00:00,17352000,17352000,7786.574967,17397000,17060000,1.60E+12,17789000,RISE,45000,1.36E+11,45000,CRIX.UPBIT.KRW-BTC
0.087286171,0.087286171,2020-11-05T09:00:00+09:00,2020-11-05T00:00:00+00:00,15959000,15959000,9583.127614,17352000,15900000,1.60E+12,17540000,RISE,1393000,1.60E+11,1393000,CRIX.UPBIT.KRW-BTC
0.00491153,0.00491153,2020-11-04T09:00:00+09:00,2020-11-04T00:00:00+00:00,15881000,15881000,4673.775324,15959000,15431000,1.60E+12,16020000,RISE,78000,73601397517,78000,CRIX.UPBIT.KRW-BTC
0.031434695,0.031434695,2020-11-03T09:00:00+09:00,2020-11-03T00:00:00+00:00,15396000,15397000,3888.004126,15881000,15150000,1.60E+12,15900000,RISE,484000,60156003001,484000,CRIX.UPBIT.KRW-BTC
-0.011365096,0.011365096,2020-11-02T09:00:00+09:00,2020-11-02T00:00:00+00:00,15574000,15574000,3643.765543,15397000,15011000,1.60E+12,15641000,FALL,177000,55967421351,-177000,CRIX.UPBIT.KRW-BTC
-0.002050493,0.002050493,2020-11-01T09:00:00+09:00,2020-11-01T00:00:00+00:00,15606000,15606000,1806.621226,15574000,15461000,1.60E+12,15710000,FALL,32000,28140915523,-32000,CRIX.UPBIT.KRW-BTC
0.017340287,0.017340287,2020-10-31T09:00:00+09:00,2020-10-31T00:00:00+00:00,15340000,15340000,4066.292449,15606000,15205000,1.60E+12,15800000,RISE,266000,63229851058,266000,CRIX.UPBIT.KRW-BTC
0.008745972,0.008745972,2020-10-30T09:00:00+09:00,2020-10-30T00:00:00+00:00,15207000,15207000,3753.488127,15340000,14899000,1.60E+12,15460000,RISE,133000,56891439162,133000,CRIX.UPBIT.KRW-BTC
0.009760956,0.009760956,2020-10-29T09:00:00+09:00,2020-10-29T00:00:00+00:00,15060000,15060000,3516.504745,15207000,14703000,1.60E+12,15379000,RISE,147000,52840743145,147000,CRIX.UPBIT.KRW-BTC
-0.01645768,0.01645768,2020-10-28T09:00:00+09:00,2020-10-28T00:00:00+00:00,15300000,15312000,5752.669847,15060000,14635000,1.60E+12,15557000,FALL,252000,87155753225,-252000,CRIX.UPBIT.KRW-BTC
0.037117312,0.037117312,2020-10-27T09:00:00+09:00,2020-10-27T00:00:00+00:00,14772000,14764000,3964.12532,15312000,14683000,1.60E+12,15457000,RISE,548000,59577301258,548000,CRIX.UPBIT.KRW-BTC
0.00503744,0.00503744,2020-10-26T09:00:00+09:00,2020-10-26T00:00:00+00:00,14687000,14690000,3031.758804,14764000,14358000,1.60E+12,14920000,RISE,74000,44615941981,74000,CRIX.UPBIT.KRW-BTC
-0.004742547,0.004742547,2020-10-25T09:00:00+09:00,2020-10-25T00:00:00+00:00,14760000,14760000,2314.369467,14690000,14556000,1.60E+12,15000000,FALL,70000,34126819043,-70000,CRIX.UPBIT.KRW-BTC
0.01206802,0.01206802,2020-10-24T09:00:00+09:00,2020-10-24T00:00:00+00:00,14579000,14584000,1868.379109,14760000,14514000,1.60E+12,14800000,RISE,176000,27394992009,176000,CRIX.UPBIT.KRW-BTC
0.00178596,0.00178596,2020-10-23T09:00:00+09:00,2020-10-23T00:00:00+00:00,14558000,14558000,2925.465487,14584000,14340000,1.60E+12,14623000,RISE,26000,42479103232,26000,CRIX.UPBIT.KRW-BTC
0.00936005,0.00936005,2020-10-22T09:00:00+09:00,2020-10-22T00:00:00+00:00,14420000,14423000,4262.746707,14558000,14320000,1.60E+12,14769000,RISE,135000,61887193784,135000,CRIX.UPBIT.KRW-BTC
0.056939763,0.056939763,2020-10-21T09:00:00+09:00,2020-10-21T00:00:00+00:00,13645000,13646000,6403.532239,14423000,13615000,1.60E+12,14812000,RISE,777000,90515014084,777000,CRIX.UPBIT.KRW-BTC
0.01721953,0.01721953,2020-10-20T09:00:00+09:00,2020-10-20T00:00:00+00:00,13420000,13415000,3296.405719,13646000,13339000,1.60E+12,13746000,RISE,231000,44585873153,231000,CRIX.UPBIT.KRW-BTC
0.015749224,0.015749224,2020-10-19T09:00:00+09:00,2020-10-19T00:00:00+00:00,13207000,13207000,2364.390712,13415000,13095000,1.60E+12,13480000,RISE,208000,31330928715,208000,CRIX.UPBIT.KRW-BTC
0.009863894,0.009863894,2020-10-18T09:00:00+09:00,2020-10-18T00:00:00+00:00,13078000,13078000,1089.072411,13207000,13050000,1.60E+12,13208000,RISE,129000,14296380359,129000,CRIX.UPBIT.KRW-BTC
0.001838517,0.001838517,2020-10-17T09:00:00+09:00,2020-10-17T00:00:00+00:00,13054000,13054000,1046.284968,13078000,12970000,1.60E+12,13097000,RISE,24000,13649081272,24000,CRIX.UPBIT.KRW-BTC
-0.013004688,0.013004688,2020-10-16T09:00:00+09:00,2020-10-16T00:00:00+00:00,13230000,13226000,3130.673924,13054000,12893000,1.60E+12,13275000,FALL,172000,40793097709,-172000,CRIX.UPBIT.KRW-BTC
0.005779468,0.005779468,2020-10-15T09:00:00+09:00,2020-10-15T00:00:00+00:00,13150000,13150000,2393.896921,13226000,12993000,1.60E+12,13300000,RISE,76000,31357389741,76000,CRIX.UPBIT.KRW-BTC
0.001218212,0.001218212,2020-10-14T09:00:00+09:00,2020-10-14T00:00:00+00:00,13134000,13134000,2472.027322,13150000,13040000,1.60E+12,13278000,RISE,16000,32441374331,16000,CRIX.UPBIT.KRW-BTC
-0.002884907,0.002884907,2020-10-13T09:00:00+09:00,2020-10-13T00:00:00+00:00,13176000,13172000,2608.353646,13134000,12999000,1.60E+12,13217000,FALL,38000,34238417635,-38000,CRIX.UPBIT.KRW-BTC
0.018401113,0.018401113,2020-10-12T09:00:00+09:00,2020-10-12T00:00:00+00:00,12934000,12934000,2796.545863,13172000,12855000,1.60E+12,13330000,RISE,238000,36531375817,238000,CRIX.UPBIT.KRW-BTC
0.005441542,0.005441542,2020-10-11T09:00:00+09:00,2020-10-11T00:00:00+00:00,12858000,12864000,1337.687884,12934000,12817000,1.60E+12,12994000,RISE,70000,17276197166,70000,CRIX.UPBIT.KRW-BTC
0.017882576,0.017882576,2020-10-10T09:00:00+09:00,2020-10-10T00:00:00+00:00,12637000,12638000,2416.641481,12864000,12628000,1.60E+12,13007000,RISE,226000,31147460671,226000,CRIX.UPBIT.KRW-BTC
0.004450803,0.004450803,2020-10-09T09:00:00+09:00,2020-10-09T00:00:00+00:00,12582000,12582000,2245.607475,12638000,12503000,1.60E+12,12750000,RISE,56000,28342240433,56000,CRIX.UPBIT.KRW-BTC
0.012798841,0.012798841,2020-10-08T09:00:00+09:00,2020-10-08T00:00:00+00:00,12422000,12423000,2422.119262,12582000,12280000,1.60E+12,12680000,RISE,159000,30146096330,159000,CRIX.UPBIT.KRW-BTC
0.000402641,0.000402641,2020-10-07T09:00:00+09:00,2020-10-07T00:00:00+00:00,12408000,12418000,1357.358223,12423000,12337000,1.60E+12,12435000,RISE,5000,16795131308,5000,CRIX.UPBIT.KRW-BTC
-0.009412891,0.009412891,2020-10-06T09:00:00+09:00,2020-10-06T00:00:00+00:00,12536000,12536000,1745.875329,12418000,12330000,1.60E+12,12600000,FALL,118000,21755259038,-118000,CRIX.UPBIT.KRW-BTC
0.007150317,0.007150317,2020-10-05T09:00:00+09:00,2020-10-05T00:00:00+00:00,12446000,12447000,1578.02783,12536000,12385000,1.60E+12,12545000,RISE,89000,19657622736,89000,CRIX.UPBIT.KRW-BTC
0.004357299,0.004357299,2020-10-04T09:00:00+09:00,2020-10-04T00:00:00+00:00,12393000,12393000,869.827279,12447000,12348000,1.60E+12,12496000,RISE,54000,10796257983,54000,CRIX.UPBIT.KRW-BTC
-0.002414876,0.002414876,2020-10-03T09:00:00+09:00,2020-10-03T00:00:00+00:00,12423000,12423000,802.7589499,12393000,12326000,1.60E+12,12434000,FALL,30000,9938723633,-30000,CRIX.UPBIT.KRW-BTC
-0.00136656,0.00136656,2020-10-02T09:00:00+09:00,2020-10-02T00:00:00+00:00,12440000,12440000,2312.407433,12423000,12205000,1.60E+12,12470000,FALL,17000,28506045881,-17000,CRIX.UPBIT.KRW-BTC
-0.009396401,0.009396401,2020-10-01T09:00:00+09:00,2020-10-01T00:00:00+00:00,12562000,12558000,1790.855138,12440000,12249000,1.60E+12,12678000,FALL,118000,22374753565,-118000,CRIX.UPBIT.KRW-BTC
-0.003412428,0.003412428,2020-09-30T09:00:00+09:00,2020-09-30T00:00:00+00:00,12603000,12601000,1314.258579,12558000,12469000,1.60E+12,12615000,FALL,43000,16465381226,-43000,CRIX.UPBIT.KRW-BTC
0.010667308,0.010667308,2020-09-29T09:00:00+09:00,2020-09-29T00:00:00+00:00,12468000,12468000,2479.365774,12601000,12399000,1.60E+12,12688000,RISE,133000,30943561529,133000,CRIX.UPBIT.KRW-BTC
-0.003755493,0.003755493,2020-09-28T09:00:00+09:00,2020-09-28T00:00:00+00:00,12515000,12515000,2919.956269,12468000,12425000,1.60E+12,12795000,FALL,47000,36934110900,-47000,CRIX.UPBIT.KRW-BTC
0.000719655,0.000719655,2020-09-27T09:00:00+09:00,2020-09-27T00:00:00+00:00,12506000,12506000,1415.11836,12515000,12320000,1.60E+12,12597000,RISE,9000,17648475955,9000,CRIX.UPBIT.KRW-BTC
0.004094741,0.004094741,2020-09-26T09:00:00+09:00,2020-09-26T00:00:00+00:00,12456000,12455000,1266.600018,12506000,12431000,1.60E+12,12550000,RISE,51000,15807213914,51000,CRIX.UPBIT.KRW-BTC
-0.0036,0.0036,2020-09-25T09:00:00+09:00,2020-09-25T00:00:00+00:00,12495000,12500000,2895.53433,12455000,12311000,1.60E+12,12550000,FALL,45000,35979016377,-45000,CRIX.UPBIT.KRW-BTC
0.046638198,0.046638198,2020-09-24T09:00:00+09:00,2020-09-24T00:00:00+00:00,11943000,11943000,3114.322533,12500000,11912000,1.60E+12,12695000,RISE,557000,37921834532,557000,CRIX.UPBIT.KRW-BTC
-0.032485418,0.032485418,2020-09-23T09:00:00+09:00,2020-09-23T00:00:00+00:00,12346000,12344000,2511.568114,11943000,11913000,1.60E+12,12348000,FALL,401000,30573620247,-401000,CRIX.UPBIT.KRW-BTC
0.004393816,0.004393816,2020-09-22T09:00:00+09:00,2020-09-22T00:00:00+00:00,12290000,12290000,2500.060755,12344000,12090000,1.60E+12,12380000,RISE,54000,30619634724,54000,CRIX.UPBIT.KRW-BTC
-0.04126687,0.04126687,2020-09-21T09:00:00+09:00,2020-09-21T00:00:00+00:00,12828000,12819000,3820.681612,12290000,12160000,1.60E+12,12828000,FALL,529000,47710106092,-529000,CRIX.UPBIT.KRW-BTC
-0.00935085,0.00935085,2020-09-20T09:00:00+09:00,2020-09-20T00:00:00+00:00,12928000,12940000,1791.113123,12819000,12652000,1.60E+12,12942000,FALL,121000,22899489576,-121000,CRIX.UPBIT.KRW-BTC
0.012757298,0.012757298,2020-09-19T09:00:00+09:00,2020-09-19T00:00:00+00:00,12781000,12777000,2078.814763,12940000,12741000,1.60E+12,13036000,RISE,163000,26749956364,163000,CRIX.UPBIT.KRW-BTC
-0.002653969,0.002653969,2020-09-18T09:00:00+09:00,2020-09-18T00:00:00+00:00,12811000,12811000,2277.285377,12777000,12672000,1.60E+12,12837000,FALL,34000,29032522101,-34000,CRIX.UPBIT.KRW-BTC
-0.007899017,0.007899017,2020-09-17T09:00:00+09:00,2020-09-17T00:00:00+00:00,12908000,12913000,3228.037049,12811000,12623000,1.60E+12,13050000,FALL,102000,41324682570,-102000,CRIX.UPBIT.KRW-BTC
0.007725925,0.007725925,2020-09-16T09:00:00+09:00,2020-09-16T00:00:00+00:00,12801000,12814000,3856.194297,12913000,12652000,1.60E+12,13050000,RISE,99000,49511485549,99000,CRIX.UPBIT.KRW-BTC
0.012244253,0.012244253,2020-09-15T09:00:00+09:00,2020-09-15T00:00:00+00:00,12657000,12659000,3676.586632,12814000,12555000,1.60E+12,12913000,RISE,155000,46872140520,155000,CRIX.UPBIT.KRW-BTC
0.022784197,0.022784197,2020-09-14T09:00:00+09:00,2020-09-14T00:00:00+00:00,12377000,12377000,2810.175514,12659000,12285000,1.60E+12,12736000,RISE,282000,35084126336,282000,CRIX.UPBIT.KRW-BTC
-0.000161564,0.000161564,2020-09-13T09:00:00+09:00,2020-09-13T00:00:00+00:00,12379000,12379000,2563.925195,12377000,12147000,1.60E+12,12571000,FALL,2000,31758933652,-2000,CRIX.UPBIT.KRW-BTC
0.003485733,0.003485733,2020-09-12T09:00:00+09:00,2020-09-12T00:00:00+00:00,12336000,12336000,1692.155038,12379000,12228000,1.60E+12,12455000,RISE,43000,20862828213,43000,CRIX.UPBIT.KRW-BTC
0.000648929,0.000648929,2020-09-11T09:00:00+09:00,2020-09-11T00:00:00+00:00,12328000,12328000,2587.418123,12336000,12170000,1.60E+12,12388000,RISE,8000,31705458795,8000,CRIX.UPBIT.KRW-BTC
0.012400427,0.012400427,2020-09-10T09:00:00+09:00,2020-09-10T00:00:00+00:00,12189000,12177000,4150.918463,12328000,12050000,1.60E+12,12435000,RISE,151000,51049389672,151000,CRIX.UPBIT.KRW-BTC
0.003791938,0.003791938,2020-09-09T09:00:00+09:00,2020-09-09T00:00:00+00:00,12130000,12131000,2860.20371,12177000,11939000,1.60E+12,12290000,RISE,46000,34669073726,46000,CRIX.UPBIT.KRW-BTC
-0.020745883,0.020745883,2020-09-08T09:00:00+09:00,2020-09-08T00:00:00+00:00,12388000,12388000,3338.502553,12131000,11900000,1.60E+12,12448000,FALL,257000,40567225704,-257000,CRIX.UPBIT.KRW-BTC
0.00283332,0.00283332,2020-09-07T09:00:00+09:00,2020-09-07T00:00:00+00:00,12353000,12353000,3422.903789,12388000,11860000,1.60E+12,12450000,RISE,35000,41612849961,35000,CRIX.UPBIT.KRW-BTC
-0.00234211,0.00234211,2020-09-06T09:00:00+09:00,2020-09-06T00:00:00+00:00,12383000,12382000,2820.788902,12353000,12123000,1.60E+12,12493000,FALL,29000,34671546522,-29000,CRIX.UPBIT.KRW-BTC
-0.020101298,0.020101298,2020-09-05T09:00:00+09:00,2020-09-05T00:00:00+00:00,12630000,12636000,4161.039253,12382000,12120000,1.60E+12,12762000,FALL,254000,51491560856,-254000,CRIX.UPBIT.KRW-BTC
0.027066569,0.027066569,2020-09-04T09:00:00+09:00,2020-09-04T00:00:00+00:00,12301000,12303000,6538.450248,12636000,12160000,1.60E+12,12773000,RISE,333000,81665296367,333000,CRIX.UPBIT.KRW-BTC
-0.09343453,0.09343453,2020-09-03T09:00:00+09:00,2020-09-03T00:00:00+00:00,13572000,13571000,7225.318548,12303000,12265000,1.60E+12,13670000,FALL,1268000,94143401976,-1268000,CRIX.UPBIT.KRW-BTC
-0.028839273,0.028839273,2020-09-02T09:00:00+09:00,2020-09-02T00:00:00+00:00,13972000,13974000,5822.802291,13571000,13282000,1.60E+12,14010000,FALL,403000,79532170806,-403000,CRIX.UPBIT.KRW-BTC
0.017030568,0.017030568,2020-09-01T09:00:00+09:00,2020-09-01T00:00:00+00:00,13733000,13740000,4847.35215,13974000,13630000,1.60E+12,14097000,RISE,234000,67380057022,234000,CRIX.UPBIT.KRW-BTC
0.004974033,0.004974033,2020-08-31T09:00:00+09:00,2020-08-31T00:00:00+00:00,13671000,13671000,3166.158375,13739000,13580000,1.60E+12,13840000,RISE,68000,43398359512,68000,CRIX.UPBIT.KRW-BTC
0.014922049,0.014922049,2020-08-30T09:00:00+09:00,2020-08-30T00:00:00+00:00,13470000,13470000,2403.720391,13671000,13465000,1.60E+12,13687000,RISE,201000,32728750263,201000,CRIX.UPBIT.KRW-BTC
-0.005830689,0.005830689,2020-08-29T09:00:00+09:00,2020-08-29T00:00:00+00:00,13546000,13549000,2279.262696,13470000,13416000,1.60E+12,13568000,FALL,79000,30771087828,-79000,CRIX.UPBIT.KRW-BTC
0.011043952,0.011043952,2020-08-28T09:00:00+09:00,2020-08-28T00:00:00+00:00,13401000,13401000,3043.467661,13549000,13332000,1.60E+12,13550000,RISE,148000,40954465328,148000,CRIX.UPBIT.KRW-BTC
-0.01179854,0.01179854,2020-08-27T09:00:00+09:00,2020-08-27T00:00:00+00:00,13561000,13561000,5462.363708,13401000,13245000,1.60E+12,13675000,FALL,160000,73372727046,-160000,CRIX.UPBIT.KRW-BTC
0.00630751,0.00630751,2020-08-26T09:00:00+09:00,2020-08-26T00:00:00+00:00,13473000,13476000,7348.775059,13561000,13350000,1.60E+12,13633000,RISE,85000,99215044387,85000,CRIX.UPBIT.KRW-BTC
-0.028826751,0.028826751,2020-08-25T09:00:00+09:00,2020-08-25T00:00:00+00:00,13876000,13876000,5630.219385,13476000,13341000,1.60E+12,13884000,FALL,400000,76682467827,-400000,CRIX.UPBIT.KRW-BTC
0.005361542,0.005361542,2020-08-24T09:00:00+09:00,2020-08-24T00:00:00+00:00,13816000,13802000,3402.101195,13876000,13745000,1.60E+12,13940000,RISE,74000,47140930422,74000,CRIX.UPBIT.KRW-BTC
