highPrice,lowPrice,openingPrice,prevClosingPrice,change,candleAccTradeVolume,changeRate,timestamp,candleAccTradePrice,changePrice,signedChangePrice,candleDateTimeKst,tradePrice,candleDateTime,code,signedChangeRate
2770,2710,2720,2720,RISE,733956.3153,0.011029412,1.60526E+12,2013687553,30,30,2020-11-13T09:00:00+09:00,2750,2020-11-13T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,0.011029412
2785,2700,2775,2780,FALL,1866649.711,0.021582734,1.60523E+12,5124091309,60,-60,2020-11-12T09:00:00+09:00,2720,2020-11-12T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,-0.021582734
2820,2770,2785,2785,FALL,1336613.802,0.001795332,1.60514E+12,3722756736,5,-5,2020-11-11T09:00:00+09:00,2780,2020-11-11T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,-0.001795332
2815,2760,2790,2790,FALL,1692638.858,0.001792115,1.60505E+12,4724025553,5,-5,2020-11-10T09:00:00+09:00,2785,2020-11-10T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,-0.001792115
2850,2760,2835,2835,FALL,1500511.297,0.015873016,1.60497E+12,4204696346,45,-45,2020-11-09T09:00:00+09:00,2790,2020-11-09T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,-0.015873016
2865,2790,2805,2810,RISE,1660838.332,0.008896797,1.60488E+12,4699643131,25,25,2020-11-08T09:00:00+09:00,2835,2020-11-08T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,0.008896797
2925,2770,2830,2830,FALL,3212408.664,0.007067138,1.60479E+12,9185324458,20,-20,2020-11-07T09:00:00+09:00,2810,2020-11-07T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,-0.007067138
2845,2705,2720,2725,RISE,3364406.592,0.03853211,1.60471E+12,9392080062,105,105,2020-11-06T09:00:00+09:00,2830,2020-11-06T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,0.03853211
2765,2655,2660,2660,RISE,2499920.101,0.02443609,1.60462E+12,6757640531,65,65,2020-11-05T09:00:00+09:00,2725,2020-11-05T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,0.02443609
2690,2615,2685,2680,FALL,1317605.133,0.007462687,1.60453E+12,3499182258,20,-20,2020-11-04T09:00:00+09:00,2660,2020-11-04T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,-0.007462687
2775,2585,2770,2770,FALL,2480394.086,0.032490975,1.60445E+12,6584939786,90,-90,2020-11-03T09:00:00+09:00,2680,2020-11-03T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,-0.032490975
2880,2740,2850,2850,FALL,1671879.107,0.028070175,1.60436E+12,4686196878,80,-80,2020-11-02T09:00:00+09:00,2770,2020-11-02T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,-0.028070175
2875,2795,2860,2855,FALL,759763.5974,0.001751314,1.60428E+12,2157979900,5,-5,2020-11-01T09:00:00+09:00,2850,2020-11-01T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,-0.001751314
2900,2825,2840,2840,RISE,1522215.286,0.00528169,1.60419E+12,4364037416,15,15,2020-10-31T09:00:00+09:00,2855,2020-10-31T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,0.00528169
2995,2740,2985,2985,FALL,2253605.448,0.048576214,1.6041E+12,6473279980,145,-145,2020-10-30T09:00:00+09:00,2840,2020-10-30T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,-0.048576214
3030,2945,3010,3010,FALL,1309809.841,0.008305648,1.60402E+12,3916029028,25,-25,2020-10-29T09:00:00+09:00,2985,2020-10-29T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,-0.008305648
3105,2970,3000,2995,RISE,2840580.883,0.005008347,1.60393E+12,8578828828,15,15,2020-10-28T09:00:00+09:00,3010,2020-10-28T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,0.005008347
3025,2960,2980,2975,RISE,1442744.973,0.006722689,1.60384E+12,4308036545,20,20,2020-10-27T09:00:00+09:00,2995,2020-10-27T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,0.006722689
3095,2950,3050,3050,FALL,2734686.871,0.024590164,1.60376E+12,8282950835,75,-75,2020-10-26T09:00:00+09:00,2975,2020-10-26T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,-0.024590164
3095,2955,3000,3000,RISE,2104209.548,0.016666667,1.60367E+12,6325551334,50,50,2020-10-25T09:00:00+09:00,3050,2020-10-25T00:00:00+00:00,CRIX.UPBIT.KRW-EOS,0.016666667
