prevClosingPrice,tradePrice,changePrice,signedChangeRate,candleAccTradePrice,candleAccTradeVolume,candleDateTime,openingPrice,signedChangePrice,changeRate,timestamp,lowPrice,change,code,highPrice,candleDateTimeKst
282,287,5,0.017730497,9000978378,31657672.46,2020-11-13T00:00:00+00:00,282,5,0.017730497,1.60526E+12,281,RISE,CRIX.UPBIT.KRW-XRP,289,2020-11-13T09:00:00+09:00
285,282,3,-0.010526316,13922659743,49222596.84,2020-11-12T00:00:00+00:00,285,-3,0.010526316,1.60523E+12,280,FALL,CRIX.UPBIT.KRW-XRP,286,2020-11-12T09:00:00+09:00
283,285,2,0.007067138,20303713873,71337744.89,2020-11-11T00:00:00+00:00,283,2,0.007067138,1.60514E+12,281,RISE,CRIX.UPBIT.KRW-XRP,288,2020-11-11T09:00:00+09:00
279,283,4,0.014336918,32822164964,114930766.8,2020-11-10T00:00:00+00:00,279,4,0.014336918,1.60505E+12,277,RISE,CRIX.UPBIT.KRW-XRP,295,2020-11-10T09:00:00+09:00
284,279,5,-0.017605634,18633278116,66529587.65,2020-11-09T00:00:00+00:00,284,-5,0.017605634,1.60497E+12,276,FALL,CRIX.UPBIT.KRW-XRP,286,2020-11-09T09:00:00+09:00
280,284,4,0.014285714,16131899682,56956900.94,2020-11-08T00:00:00+00:00,280,4,0.014285714,1.60488E+12,278,RISE,CRIX.UPBIT.KRW-XRP,287,2020-11-08T09:00:00+09:00
289,280,9,-0.031141869,37275510415,129278774,2020-11-07T00:00:00+00:00,289,-9,0.031141869,1.60479E+12,277,FALL,CRIX.UPBIT.KRW-XRP,299,2020-11-07T09:00:00+09:00
274,289,15,0.054744526,31581023256,111382986.9,2020-11-06T00:00:00+00:00,273,15,0.054744526,1.60471E+12,272,RISE,CRIX.UPBIT.KRW-XRP,291,2020-11-06T09:00:00+09:00
268,274,6,0.02238806,19551791966,71948710.14,2020-11-05T00:00:00+00:00,269,6,0.02238806,1.60462E+12,267,RISE,CRIX.UPBIT.KRW-XRP,276,2020-11-05T09:00:00+09:00
271,268,3,-0.011070111,13206268078,49200984.69,2020-11-04T00:00:00+00:00,272,-3,0.011070111,1.60453E+12,264,FALL,CRIX.UPBIT.KRW-XRP,273,2020-11-04T09:00:00+09:00
267,271,4,0.014981273,22610447587,84141545.55,2020-11-03T00:00:00+00:00,267,4,0.014981273,1.60445E+12,260,RISE,CRIX.UPBIT.KRW-XRP,277,2020-11-03T09:00:00+09:00
271,267,4,-0.014760148,12756821630,47272754,2020-11-02T00:00:00+00:00,272,-4,0.014760148,1.60436E+12,265,FALL,CRIX.UPBIT.KRW-XRP,276,2020-11-02T09:00:00+09:00
272,271,1,-0.003676471,5894784753,21746789.99,2020-11-01T00:00:00+00:00,271,-1,0.003676471,1.60428E+12,269,FALL,CRIX.UPBIT.KRW-XRP,273,2020-11-01T09:00:00+09:00
270,272,2,0.007407407,7695253232,28300885.24,2020-10-31T00:00:00+00:00,270,2,0.007407407,1.60419E+12,269,RISE,CRIX.UPBIT.KRW-XRP,276,2020-10-31T09:00:00+09:00
274,270,4,-0.01459854,16935841675,62823421.03,2020-10-30T00:00:00+00:00,275,-4,0.01459854,1.6041E+12,263,FALL,CRIX.UPBIT.KRW-XRP,276,2020-10-30T09:00:00+09:00
280,274,6,-0.021428571,12929228762,46825111.07,2020-10-29T00:00:00+00:00,279,-6,0.021428571,1.60402E+12,272,FALL,CRIX.UPBIT.KRW-XRP,280,2020-10-29T09:00:00+09:00
284,280,4,-0.014084507,20076560463,71188579.36,2020-10-28T00:00:00+00:00,283,-4,0.014084507,1.60393E+12,277,FALL,CRIX.UPBIT.KRW-XRP,288,2020-10-28T09:00:00+09:00
282,284,2,0.007092199,12388087270,43890996.77,2020-10-27T00:00:00+00:00,281,2,0.007092199,1.60384E+12,279,RISE,CRIX.UPBIT.KRW-XRP,285,2020-10-27T09:00:00+09:00
286,282,4,-0.013986014,16305269966,57224509.58,2020-10-26T00:00:00+00:00,285,-4,0.013986014,1.60376E+12,277,FALL,CRIX.UPBIT.KRW-XRP,291,2020-10-26T09:00:00+09:00
